Ticker,Spot_Price,Options_Count,Calibration_Error_%,v0,theta,kappa,sigma,rho,Calibration_Time_s
AMZN,225.69000244140625,54,10.28603367539044,0.1427850858447917,0.022526735787175903,5.257681529724863,0.6790578767966885,-0.7306091906834316,40.176634311676025
GOOGL,181.55999755859375,42,9.73331805356912,0.18911200040847198,0.051513602711282774,7.102220942940456,1.8336849504201387,-0.19843974759732688,222.49576997756958
TSLA,316.8999938964844,72,5.39006601353104,0.42535176619278753,0.24933195974492878,14.888312559029107,3.9819223381369993,-0.05260500722722636,241.02826929092407
NVDA,164.07000732421875,60,8.49736829766741,0.08568890839187038,0.20970873628765313,11.013072219502867,2.1707974006176505,-0.6805140105372199,243.025226354599
AAPL,208.6199951171875,48,10.219144689899096,0.09741675412772367,0.019914520334156294,2.5560797155548762,0.7905817796965715,-0.5950508980341774,243.38133692741394
MSFT,503.0199890136719,119,14.53174166562266,0.07527797471397427,0.0236666055331339,2.9595697875757323,1.413616176446539,-0.1927036188212875,244.34091114997864
NFLX,1261.949951171875,140,7.297295057920133,0.2120923019661316,0.10061332281803406,5.861346434979652,1.6023880591525876,-0.17188988037528427,245.58800339698792
META,720.9199829101562,162,9.023013391515224,0.1823639243934175,0.035400573397424646,5.47395329915161,1.0946368059965828,-0.4303023535937335,247.90332221984863
CRM,259.67999267578125,30,10.618742236010894,0.010017509959716564,0.1645168138181537,12.27567495407005,0.337062862089452,-0.8934548455507181,220.83209896087646
ORCL,229.27999877929688,30,8.734726421368546,0.021970245556043277,0.2420731570977254,14.047500292682741,3.944795824882172,-0.16162200941040228,161.12054991722107
JPM,288.70001220703125,68,14.096249310502623,0.06344752703150576,0.09067405069777602,2.362982306519201,1.5142952012663176,-0.19236656700219204,155.80078434944153
WFC,83.43000030517578,36,8.823829520770394,0.11119956866237671,0.06206630046341414,14.854300208730582,1.9369944203853113,-0.2937426464123251,155.039719581604
BAC,47.06999969482422,48,7.548256328617334,0.08805501806430771,0.061376590297377735,3.7952090537787657,1.2801781542988533,-0.3743149863788729,155.42042803764343
MS,143.97000122070312,34,7.393532110378892,0.0947882652988354,0.0634207204420597,5.069696969100735,1.245332288038933,-0.4291676147773691,153.8798122406006
C,87.5,28,5.799039683213692,0.13308092649948614,0.07183711055157345,14.69103528663154,2.416795711790353,-0.16587701992062853,152.08274364471436
GS,713.2999877929688,156,8.262489905789632,0.08516888306667077,0.10812143147160272,3.256573614902835,1.6452374137684516,-0.1600589480839667,158.00804018974304
JNJ,156.82000732421875,36,15.594766283111113,0.044414559380962615,0.035591365657658414,14.709405613210642,1.7660554928210828,-0.33385340741265335,151.25760650634766
PFE,25.350000381469727,30,18.104260406723515,0.05637424179935633,0.05867782097134278,14.274215548354553,2.6062697474657623,-0.09306854352974807,122.0234944820404
UNH,300.5799865722656,36,4.742573288730693,0.25581448533536927,0.3128008996765002,3.733587444825534,3.2631559846202247,-0.07963455677821374,119.24037909507751
KO,69.47000122070312,30,13.383005782611201,0.04731895164417633,0.034044356942458165,14.999321747369292,1.338956362884952,-0.5952392604716418,119.04256510734558
PG,153.75999450683594,36,10.31747357081502,0.07513325717471273,0.041094614272580814,14.987021120649556,2.0175835043502106,-0.418909610167143,119.57134938240051
PEP,135.57000732421875,30,6.463973783668622,0.09065827646785846,0.06700527548317968,14.953633007240864,1.9412894662387763,-0.29976302477712247,119.21019387245178
WMT,95.77999877929688,42,13.131053805965719,0.01261791804302987,0.0831318734061173,13.117631956061278,1.575611270239141,-0.3753713027987722,120.13005542755127
HD,370.1099853515625,59,13.862436003538717,0.03030156799610107,0.11137121805407392,5.566288739794548,1.9338817510003274,-0.22517461941643363,120.89251565933228
BA,230.50999450683594,54,10.101423740194234,0.1270848432851692,0.013377542602801804,2.1000316505331305,0.6424127778150098,-0.4493887239930281,119.60023283958435
CAT,405.7699890136719,45,7.241823955512574,0.13895958185885318,0.052761334612473516,14.992361702120064,1.5449352389997275,-0.3303028817447372,89.50279116630554
GE,262.3399963378906,30,8.704086283309092,0.25628140357859863,0.09292275968404262,14.974903105193361,2.3053828693696583,-0.17028382488297455,84.6713478565216
XOM,113.91999816894531,30,8.513529712085333,0.07918818501310437,0.049275877633368326,14.99656304321245,1.7014506471385777,-0.32472403746053674,84.35645413398743
CVX,151.64999389648438,34,6.447344300493705,0.09895501366131526,0.030147537107425595,3.999336321932718,0.6904688857863309,-0.38001447562088964,85.43825912475586
V,350.5,84,12.221869315621502,0.0973549741245241,0.0431328688374344,5.309514514691341,2.007165432064867,-0.2022894349316783,84.77768754959106
